
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                       |  Mean duration (s)      |  Num calls            |  Total time (s)       |  Percentage %         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                        |  -                      |  2777                 |  89.65                |  100 %                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_epoch_end                |  8.4503                 |  1                    |  8.4503               |  9.4259               |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end                     |  8.0311                 |  1                    |  8.0311               |  8.9582               |
|  run_training_epoch                                                                                                                                                           |  7.9449                 |  1                    |  7.9449               |  8.8621               |
|  run_training_batch                                                                                                                                                           |  0.13438                |  50                   |  6.719                |  7.4947               |
|  [LightningModule]GPTLanguageModel.optimizer_step                                                                                                                             |  0.13414                |  50                   |  6.7071               |  7.4814               |
|  [Strategy]DDPStrategy.backward                                                                                                                                               |  0.063968               |  50                   |  3.1984               |  3.5677               |
|  [Strategy]DDPStrategy.training_step                                                                                                                                          |  0.055455               |  50                   |  2.7728               |  3.0929               |
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                                 |  0.016695               |  50                   |  0.83473              |  0.93111              |
|  [LightningModule]GPTLanguageModel.configure_gradient_clipping                                                                                                                |  0.0084512              |  50                   |  0.42256              |  0.47135              |
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                                   |  0.0017403              |  50                   |  0.087015             |  0.097061             |
|  [LightningModule]GPTLanguageModel.optimizer_zero_grad                                                                                                                        |  0.00029365             |  50                   |  0.014683             |  0.016378             |
|  [Strategy]DDPStrategy.batch_to_device                                                                                                                                        |  0.00016468             |  50                   |  0.008234             |  0.0091846            |
|  [LightningModule]GPTLanguageModel.transfer_batch_to_device                                                                                                                   |  0.00012231             |  50                   |  0.0061155            |  0.0068215            |
|  [Callback]ModelSummary.on_fit_start                                                                                                                                          |  0.0037764              |  1                    |  0.0037764            |  0.0042124            |
|  [Callback]TQDMProgressBar.on_train_start                                                                                                                                     |  0.0017416              |  1                    |  0.0017416            |  0.0019426            |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_batch_end            |  1.9339e-05             |  50                   |  0.00096696           |  0.0010786            |
|  [LightningModule]GPTLanguageModel.configure_optimizers                                                                                                                       |  0.00086217             |  1                    |  0.00086217           |  0.00096171           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.setup                         |  0.00083578             |  1                    |  0.00083578           |  0.00093227           |
